date,race,rider,rank,team
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Gorka_Izagirre,20,Movistar_Team_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Ruben_Fernandez,21,Movistar_Team_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Simon_Spilak,22,Team_Katusha_Alpecin_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Robert_Kiserlovski,23,Team_Katusha_Alpecin_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Tony_Gallopin,24,Lotto_Soudal_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Lukasz_Owsian,25,CCC_Sprandi_Polkowice_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Oscar_Riesebeek,26,Roompot_Nederlandse_Loterijn_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Jan_Tratnik,27,CCC_Sprandi_Polkowice_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Yoann_Offredo,28,Wanty_Groupe_Gobert_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Guillaume_Bonnafond,29,"Cofidis,_Solutions_Credits_2017"
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Colin_Joyce,30,Rally_Cycling_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Elmar_Reinders,31,Roompot_Nederlandse_Loterijn_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Egoitz_Fernandez,32,Team_UKYO_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Etienne_Van_Empel,33,Roompot_Nederlandse_Loterijn_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Martijn_Budding,34,Roompot_Nederlandse_Loterijn_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Diego_Rubio,35,Caja_Rural_Seguros_RGA_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Xandro_Meurisse,36,Wanty_Groupe_Gobert_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Maciej_Paterski,37,CCC_Sprandi_Polkowice_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Eliot_Lietaer,38,Sport_Vlaanderen_Baloise_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Alex_Aranburu,39,Caja_Rural_Seguros_RGA_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Antonio_Molina,40,Caja_Rural_Seguros_RGA_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Luka_Pibernik,41,Bahrain_Merida_Pro_Cycling_Team_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Chris_Butler,42,Caja_Rural_Seguros_RGA_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Salvador_Guardiola,43,Team_UKYO_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Frederik_Frison,44,Lotto_Soudal_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Sepp_Kuss,45,Rally_Cycling_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Sergey_Firsanov,46,Gazprom_RusVelo_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Bryan_Nauleau,47,Direct_Energie_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Jeroen_Meijers,48,Roompot_Nederlandse_Loterijn_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Yoann_Bagot,49,"Cofidis,_Solutions_Credits_2017"
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Benat_Txoperena,50,Euskadi_Basque_Country_-_Murias__2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Igor_Merino,51,Burgos-BH__2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Mikel_Bizkarra,52,Euskadi_Basque_Country_-_Murias__2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Pieter_Vanspeybrouck,53,Wanty_Groupe_Gobert_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Rob_Britton,54,Rally_Cycling_2017
11-02-2017, 2017   »   37th Vuelta Ciclista a la Region de Murcia 'Costa Calida' (1.1),Evan_Huffman,55,Rally_Cycling_2017
